contentType,ts,value
FTP,2024-03-25 09:00:00,255650
FTP,2024-09-24 03:00:00,1740
FTP,2024-09-24 06:00:00,455693
FTP,2024-09-24 09:00:00,1449588
FTP,2024-09-24 12:00:00,1011362
FTP,2024-09-24 15:00:00,711124
FTP,2024-09-24 18:00:00,25752
FTP,2024-09-24 21:00:00,102429
FTP,2024-09-25 00:00:00,2525879
FTP,2024-09-25 03:00:00,9960
FTP,2024-09-25 06:00:00,7800793
FTP,2024-09-25 09:00:00,816773
FTP,2024-09-25 12:00:00,391552
FTP,2024-09-25 15:00:00,308684
FTP,2024-09-25 18:00:00,50536
FTP,2024-09-25 21:00:00,13892
FTP,2024-09-26 00:00:00,32854
FTP,2024-09-26 03:00:00,1152
FTP,2024-09-26 06:00:00,95562
FTP,2024-09-26 09:00:00,126008
FTP,2024-09-26 12:00:00,421648
FTP,2024-09-26 15:00:00,748056
FTP,2024-09-26 18:00:00,16572
FTP,2024-09-26 21:00:00,20111
FTP,2024-09-27 00:00:00,3084
FTP,2024-09-27 03:00:00,1100
FTP,2024-09-27 06:00:00,93519
FTP,2024-09-27 09:00:00,261924
FTP,2024-09-27 12:00:00,162847
FTP,2024-09-27 15:00:00,712982
FTP,2024-09-27 18:00:00,136192
FTP,2024-09-27 21:00:00,35715
FTP,2024-09-28 00:00:00,2104
FTP,2024-09-28 03:00:00,470
FTP,2024-09-28 06:00:00,5101
FTP,2024-09-28 09:00:00,15975
FTP,2024-09-28 12:00:00,45375
FTP,2024-09-28 15:00:00,466651
FTP,2024-09-28 18:00:00,38365
FTP,2024-09-28 21:00:00,52329
FTP,2024-09-29 00:00:00,9350
FTP,2024-09-29 03:00:00,1168
FTP,2024-09-29 06:00:00,15291
FTP,2024-09-29 09:00:00,57438
FTP,2024-09-29 12:00:00,40320
FTP,2024-09-29 15:00:00,15013
FTP,2024-09-29 18:00:00,35012
FTP,2024-09-29 21:00:00,14797
FTP,2024-09-30 00:00:00,5002
FTP,2024-09-30 03:00:00,1517
FTP,2024-09-30 06:00:00,506203
FTP,2024-09-30 09:00:00,1772471
FTP,2024-09-30 12:00:00,91623
FTP,2024-09-30 15:00:00,211337
FTP,2024-09-30 18:00:00,176516
FTP,2024-09-30 21:00:00,206479
FTP,2024-10-01 00:00:00,53688
FTP,2024-10-01 03:00:00,2270
FTP,2024-10-01 06:00:00,6284027
FTP,2024-10-01 09:00:00,4732630
FTP,2024-10-01 12:00:00,295219
FTP,2024-10-01 15:00:00,1086217
FTP,2024-10-01 18:00:00,52382
FTP,2024-10-01 21:00:00,161869
FTP,2024-10-02 00:00:00,1236
FTP,2024-10-02 03:00:00,1517
FTP,2024-10-02 06:00:00,56562
FTP,2024-10-02 09:00:00,523838
FTP,2024-10-02 12:00:00,608344
FTP,2024-10-02 15:00:00,89629
FTP,2024-10-02 18:00:00,27056
FTP,2024-10-02 21:00:00,49865
FTP,2024-10-03 00:00:00,14410
FTP,2024-10-03 03:00:00,13535
FTP,2024-10-03 06:00:00,123779
FTP,2024-10-03 09:00:00,247481
FTP,2024-10-03 12:00:00,216458
FTP,2024-10-03 15:00:00,154040
FTP,2024-10-03 18:00:00,58979
FTP,2024-10-03 21:00:00,18615
FTP,2024-10-04 00:00:00,2938
FTP,2024-10-04 03:00:00,1517
FTP,2024-10-04 06:00:00,327979
FTP,2024-10-04 09:00:00,247657
FTP,2024-10-04 12:00:00,218127
FTP,2024-10-04 15:00:00,133585
FTP,2024-10-04 18:00:00,58197
FTP,2024-10-04 21:00:00,442168
FTP,2024-10-05 00:00:00,13392
FTP,2024-10-05 03:00:00,1814
FTP,2024-10-05 06:00:00,105552
FTP,2024-10-05 09:00:00,197549
FTP,2024-10-05 12:00:00,29389
FTP,2024-10-05 15:00:00,49928
FTP,2024-10-05 18:00:00,337630
FTP,2024-10-05 21:00:00,36367
FTP,2024-10-06 00:00:00,161761
FTP,2024-10-06 03:00:00,1072
FTP,2024-10-06 06:00:00,33420
FTP,2024-10-06 09:00:00,27740
FTP,2024-10-06 12:00:00,29647
FTP,2024-10-06 15:00:00,30333
FTP,2024-10-06 18:00:00,15107
FTP,2024-10-06 21:00:00,8052
FTP,2024-10-07 00:00:00,36526
FTP,2024-10-07 03:00:00,14740
FTP,2024-10-07 06:00:00,300802
FTP,2024-10-07 09:00:00,272153
FTP,2024-10-07 12:00:00,728717
FTP,2024-10-07 15:00:00,609405
FTP,2024-10-07 18:00:00,56929
FTP,2024-10-07 21:00:00,58696
FTP,2024-10-08 00:00:00,1168
FTP,2024-10-08 03:00:00,698
FTP,2024-10-08 06:00:00,59905
FTP,2024-10-08 09:00:00,239199
FTP,2024-10-08 12:00:00,134320
FTP,2024-10-08 15:00:00,435689
FTP,2024-10-08 18:00:00,20081
FTP,2024-10-08 21:00:00,25501
FTP,2024-10-09 00:00:00,33029
FTP,2024-10-09 03:00:00,30137
FTP,2024-10-09 06:00:00,311754
FTP,2024-10-09 09:00:00,77588
FTP,2024-10-09 15:00:00,81220
FTP,2024-10-09 18:00:00,37279
FTP,2024-10-09 21:00:00,22538
FTP,2024-10-10 00:00:00,1999
FTP,2024-10-10 03:00:00,1168
FTP,2024-10-10 06:00:00,75888
FTP,2024-10-10 09:00:00,321969
FTP,2024-10-10 12:00:00,518979
FTP,2024-10-10 15:00:00,242271
FTP,2024-10-10 18:00:00,33117
FTP,2024-10-10 21:00:00,41114
FTP,2024-10-11 00:00:00,6600
FTP,2024-10-11 03:00:00,1168
FTP,2024-10-11 06:00:00,44522
FTP,2024-10-11 09:00:00,2826390
FTP,2024-10-11 12:00:00,377370
FTP,2024-10-11 15:00:00,136286
FTP,2024-10-11 18:00:00,27330
FTP,2024-10-11 21:00:00,50758
FTP,2024-10-12 00:00:00,189417
FTP,2024-10-12 03:00:00,11016
FTP,2024-10-12 06:00:00,7703
FTP,2024-10-12 09:00:00,18789
FTP,2024-12-23 15:00:00,3233015
